target_model,prefix_source,k,asr,num_success,num_tot,ci95_low,ci95_high,model_path,custom_prefix_path,file
qwen4b_static_augmented,llama3b_mined,5,0.3023255813953488,26,86,0.21543521681479832,0.4061203495539834,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/qwen4b_static_augmented__llama3b_mined__k5.json
qwen4b_static_augmented,llama3b_mined,10,0.22093023255813954,19,86,0.14624907754332203,0.3194764279184876,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/qwen4b_static_augmented__llama3b_mined__k10.json
qwen4b_static_augmented,llama3b_mined,20,0.9069767441860465,78,86,0.8270425887501315,0.9521077157847294,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/qwen4b_static_augmented__llama3b_mined__k20.json
qwen4b_static_augmented,llama3b_mined,40,0.7325581395348837,63,86,0.6305495916710698,0.8146791537774222,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/qwen4b_static_augmented__llama3b_mined__k40.json
qwen4b_static_augmented,llama3b_mined,full,0.7906976744186046,68,86,0.6932340925568325,0.8633018392537823,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/qwen4b_static_augmented__llama3b_mined__kfull.json
qwen4b_static_augmented,qwen4b_mined,5,0.9305555555555556,67,72,0.8475202051632649,0.9699746184342299,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/qwen4b_static_augmented__qwen4b_mined__k5.json
qwen4b_static_augmented,qwen4b_mined,10,0.9444444444444444,68,72,0.8656798403400208,0.9781857840186834,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/qwen4b_static_augmented__qwen4b_mined__k10.json
qwen4b_static_augmented,qwen4b_mined,20,0.7361111111111112,53,72,0.6242413795382338,0.824062233402328,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/qwen4b_static_augmented__qwen4b_mined__k20.json
qwen4b_static_augmented,qwen4b_mined,40,0.6805555555555556,49,72,0.5660765126783435,0.7767438972173802,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/qwen4b_static_augmented__qwen4b_mined__k40.json
qwen4b_static_augmented,qwen4b_mined,full,0.7222222222222222,52,72,0.6095356707476457,0.8123971414317063,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/qwen4b_static_augmented__qwen4b_mined__kfull.json
